Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Career,AffiliationId,carnegie_id,PrimarySample
John F. Dunham,Trustee,Mansfield University Of Pennsylvania,,,,405.0,,131579929.0,213783.0,False
Marijo Heffner,Trustee,Mansfield University Of Pennsylvania,,,,405.0,,131579929.0,213783.0,False
Lewis B. Lee,Trustee,Mansfield University Of Pennsylvania,,,,405.0,,131579929.0,213783.0,False
James H. McCormick,Chancellor,Mansfield University Of Pennsylvania,,,,405.0,,131579929.0,213783.0,False
James H. McCormick,Ex Officio Trustee,Mansfield University Of Pennsylvania,,,,405.0,,131579929.0,213783.0,False
Ralph H. Meyer,Trustee,Mansfield University Of Pennsylvania,,,,405.0,,131579929.0,213783.0,False
Nicole R. Ruth,Trustee,Mansfield University Of Pennsylvania,,,,405.0,,131579929.0,213783.0,False
Ada Mae Saxton,Trustee,Mansfield University Of Pennsylvania,,,,405.0,,131579929.0,213783.0,False
"Howard J. Smith, Jr.",Trustee,Mansfield University Of Pennsylvania,,,,405.0,,131579929.0,213783.0,False
Robert D. Strohecker,Trustee,Mansfield University Of Pennsylvania,,,,405.0,,131579929.0,213783.0,False
Carol J. Tama,Trustee,Mansfield University Of Pennsylvania,,,,405.0,,131579929.0,213783.0,False
Cynthia M. Vennie,Trustee,Mansfield University Of Pennsylvania,,,,405.0,,131579929.0,213783.0,False
Joseph A. Caputo,President,Millersville University Of Pennsylvania,,"Seton Hall BS, MS; Houston PhD","Assistant Dean of the Faculty of Natural Sciences, State University of New York College at Buffalo; Vice President, Academic Affairs, Southwest Texas State University",405.0,,104651037.0,214041.0,False
Francine G. McNairy,Provost,Millersville University Of Pennsylvania,,,,405.0,,104651037.0,214041.0,False
Francine G. McNairy,"Vice President, Academic Affairs",Millersville University Of Pennsylvania,,,,405.0,,104651037.0,214041.0,False
James A. Stager,"Associate Provost, Academic Administration",Millersville University Of Pennsylvania,,,,405.0,,104651037.0,214041.0,False
Judi M. Roller,"Associate Provost, Academic Programs and Services",Millersville University Of Pennsylvania,,,,405.0,,104651037.0,214041.0,False
Bernice R. Rvdell,"Vice President, Finance and Administration",Millersville University Of Pennsylvania,,,,405.0,,104651037.0,214041.0,False
Susan Komsky,"Vice President, Information Technology",Millersville University Of Pennsylvania,,,,405.0,,104651037.0,214041.0,False
"Robert O. Thomas, Jr.","Vice President, Student Affairs",Millersville University Of Pennsylvania,,,,405.0,,104651037.0,214041.0,False
Gerald C. Eckert,"Vice President, University Advancement",Millersville University Of Pennsylvania,,,,405.0,,104651037.0,214041.0,False
David L. Myer,"Associate Vice President, Finance and Administration",Millersville University Of Pennsylvania,,,,405.0,,104651037.0,214041.0,False
Charlene S. Jaeger,"Associate Vice President, Student Affairs and Student Development",Millersville University Of Pennsylvania,,,,405.0,,104651037.0,214041.0,False
Edward A. Thomson,"Associate Vice President, Student Affairs and Student Support Services",Millersville University Of Pennsylvania,,,,405.0,,104651037.0,214041.0,False
Amy H. Dmitzak,"Assistant Vice President, University Advancement",Millersville University Of Pennsylvania,,,,405.0,,104651037.0,214041.0,False
Vacant,"Dean, Graduate Studies and Extended Programs",Millersville University Of Pennsylvania,,,,405.0,,104651037.0,214041.0,False
Ellen B. Waldeck,"Dean, Resident and Off Campus Life",Millersville University Of Pennsylvania,,,,405.0,,104651037.0,214041.0,False
Regis P. Kirchner,Executive Director. Public Grants and Corporate Partnerships,Millersville University Of Pennsylvania,,,,405.0,,104651037.0,214041.0,False
Darrell C. Davis,"Director, Admissions",Millersville University Of Pennsylvania,,,,405.0,,104651037.0,214041.0,False
Steven A. DiGuiseppe,"Director, Alumni Services",Millersville University Of Pennsylvania,,,,405.0,,104651037.0,214041.0,False
Margo Sassaman,"Director, Career Services",Millersville University Of Pennsylvania,,,,405.0,,104651037.0,214041.0,False
W. Lee Eastwood,"Director, Development",Millersville University Of Pennsylvania,,,,405.0,,104651037.0,214041.0,False
David S. Zubatsky,"Director, Library Services",Millersville University Of Pennsylvania,,,,405.0,,104651037.0,214041.0,False
Carl J. Kanaskie,"Director, University Communications and Marketing",Millersville University Of Pennsylvania,,,,405.0,,104651037.0,214041.0,False
Bennett F. Berhow,Dean,Millersville University Of Pennsylvania,School of Education,,,405.0,,104651037.0,214041.0,False
Barbara M. Montgomery,Dean,Millersville University Of Pennsylvania,School of Humanities and Social Sciences,,,405.0,,104651037.0,214041.0,False
Robert J. Chabora,Associate Dean,Millersville University Of Pennsylvania,School of Humanities and Social Sciences,,,405.0,,104651037.0,214041.0,False
Dean Albert C. Hoffman,Dean,Millersville University Of Pennsylvania,School Of Science And Mathematics,,,406.0,,104651037.0,214041.0,False
Gail D. Edwards,Trustee,Millersville University Of Pennsylvania,,,,406.0,,104651037.0,214041.0,False
James W. Harris,Trustee,Millersville University Of Pennsylvania,,,,406.0,,104651037.0,214041.0,False
"Charles W. Hash, Sr",Chairman,Millersville University Of Pennsylvania,,,,406.0,,104651037.0,214041.0,False
Joseph E. Hennessey,Trustee,Millersville University Of Pennsylvania,,,,406.0,,104651037.0,214041.0,False
Caroline M. Hoffer,Trustee,Millersville University Of Pennsylvania,,,,406.0,,104651037.0,214041.0,False
James H. McCormick,Chancellor,Millersville University Of Pennsylvania,,,,406.0,,104651037.0,214041.0,False
James H. McCormick,Ex Officio Trustee,Millersville University Of Pennsylvania,,,,406.0,,104651037.0,214041.0,False
William B. Mcliwaine,Trustee,Millersville University Of Pennsylvania,,,,406.0,,104651037.0,214041.0,False
Margaret Sayago,Trustee,Millersville University Of Pennsylvania,,,,406.0,,104651037.0,214041.0,False
Nelson Sears,Trustee,Millersville University Of Pennsylvania,,,,406.0,,104651037.0,214041.0,False
Robert Torres,Trustee,Millersville University Of Pennsylvania,,,,406.0,,104651037.0,214041.0,False
Sue A. Walker,Trustee,Millersville University Of Pennsylvania,,,,406.0,,104651037.0,214041.0,False
Paul G. Wedel,Trustee,Millersville University Of Pennsylvania,,,,406.0,,104651037.0,214041.0,False
Anthony F. Ceddia,President,Shippensburg University Of Pennsylvania,,"Northeastern 1965 BS, 1968 MEd; Massachusetts 1980 EdD","Administrator, North Adams State College, 1970-81",406.0,,139418187.0,216010.0,False
Barbara B. Benchoff,Assistant,Shippensburg University Of Pennsylvania,,,,406.0,,139418187.0,216010.0,False
Joann C. Fenton,Provost,Shippensburg University Of Pennsylvania,,,,406.0,,139418187.0,216010.0,False
Joann C. Fenton,"Vice President, Academic Affairs",Shippensburg University Of Pennsylvania,,,,406.0,,139418187.0,216010.0,False
Rick E. Ruth,"Associate Provost, Academic Planning and Resource Management",Shippensburg University Of Pennsylvania,,,,406.0,,139418187.0,216010.0,False
Donald Wilkinson,Vice President. Administration and Finance,Shippensburg University Of Pennsylvania,,,,406.0,,139418187.0,216010.0,False
George F. Harpster,"Vice President, Student Affairs",Shippensburg University Of Pennsylvania,,,,406.0,,139418187.0,216010.0,False
Joseph Cretella,"Dean, Admissions",Shippensburg University Of Pennsylvania,,,,406.0,,139418187.0,216010.0,False
Robert B. Bartos,"Dean, Graduate Studies",Shippensburg University Of Pennsylvania,,,,406.0,,139418187.0,216010.0,False
Madelyn E. Valunas,"Dean, Library and Media Services",Shippensburg University Of Pennsylvania,,,,406.0,,139418187.0,216010.0,False
Elnetta G. Jones,Dean. Special Academic Programs,Shippensburg University Of Pennsylvania,,,,406.0,,139418187.0,216010.0,False
Timothy M. Ebersole,Director. Alumni Affairs,Shippensburg University Of Pennsylvania,,,,406.0,,139418187.0,216010.0,False
Dan Hylton,"Director, Career Development Center",Shippensburg University Of Pennsylvania,,,,406.0,,139418187.0,216010.0,False
William A. Gould.,"Director, Information and Computing Technologies",Shippensburg University Of Pennsylvania,,,,406.0,,139418187.0,216010.0,False
Robert J. Brodnick,"Director, Institutional Research and Planning",Shippensburg University Of Pennsylvania,,,,406.0,,139418187.0,216010.0,False
Laura L. Burkett,"Director, Publications and Public Information",Shippensburg University Of Pennsylvania,,,,406.0,,139418187.0,216010.0,False
Janet S. Gross,Dean,Shippensburg University Of Pennsylvania,College Of Arts And Sciences,,,406.0,,139418187.0,216010.0,False
Donna T. Mottilla,Acting Dean,Shippensburg University Of Pennsylvania,John L. Grove College of Business,,,406.0,,139418187.0,216010.0,False
Robert B. Bartos,Dean,Shippensburg University Of Pennsylvania,College of Education and Human Services,,,406.0,,139418187.0,216010.0,False
Alison Ford,Student Trustee,Shippensburg University Of Pennsylvania,,,,406.0,,139418187.0,216010.0,False
Debra D. Gentzler,Secretary,Shippensburg University Of Pennsylvania,,,"Career: Box 212L, RDI, Thomasville, PA 17364",406.0,,139418187.0,216010.0,False
Glen R. Grell,Vice Chairman,Shippensburg University Of Pennsylvania,,,,406.0,,139418187.0,216010.0,False
"Allan W. Holman, Jr",Trustee,Shippensburg University Of Pennsylvania,,,,406.0,,139418187.0,216010.0,False
Stephen F. Luhrs,Trustee,Shippensburg University Of Pennsylvania,,,,406.0,,139418187.0,216010.0,False
Lory Naugle,Trustee,Shippensburg University Of Pennsylvania,,,,406.0,,139418187.0,216010.0,False
W. Mickey Nye,Trustee,Shippensburg University Of Pennsylvania,,,,406.0,,139418187.0,216010.0,False
William L. Piper,Trustee,Shippensburg University Of Pennsylvania,,,,406.0,,139418187.0,216010.0,False
C. Graydon Schlichter,Trustee,Shippensburg University Of Pennsylvania,,,,406.0,,139418187.0,216010.0,False
Kenneth R. Shoemaker,Chairman,Shippensburg University Of Pennsylvania,,,,406.0,,139418187.0,216010.0,False
G. Warren Smith,President,Slippery Rock University Of Pennsylvania,,,,406.0,,169494899.0,216038.0,False
Jacquelyn P. Muller,Assistant,Slippery Rock University Of Pennsylvania,,,,406.0,,169494899.0,216038.0,False
Robert M. Smith,Provost,Slippery Rock University Of Pennsylvania,,"Dean, School of Liberal Arts and Sciences, University of Tennessee at Martin",,406.0,,169494899.0,216038.0,False
Robert M. Smith,"Vice President, Academic Affairs",Slippery Rock University Of Pennsylvania,,"Dean, School of Liberal Arts and Sciences, University of Tennessee at Martin",,406.0,,169494899.0,216038.0,False
Charles T. Curry,"Vice President, Finance and Administrative Affairs",Slippery Rock University Of Pennsylvania,,,,406.0,,169494899.0,216038.0,False
Sharon L. Johnson,"Vice President, Student Affairs",Slippery Rock University Of Pennsylvania,,,,406.0,,169494899.0,216038.0,False
Sharon L. Johnson,Dean Of Students,Slippery Rock University Of Pennsylvania,,,,406.0,,169494899.0,216038.0,False
Robert J. Mollenhauer,"Vice President, University Advancement",Slippery Rock University Of Pennsylvania,,,,406.0,,169494899.0,216038.0,False
William M. Elliott,"Assistant Vice President, Administrative Affairs",Slippery Rock University Of Pennsylvania,,,,406.0,,169494899.0,216038.0,False
Robert J. Watson,"Dean, Academic Services",Slippery Rock University Of Pennsylvania,,,,406.0,,169494899.0,216038.0,False
Duncan Sargent,"Director, Admissions",Slippery Rock University Of Pennsylvania,,,,406.0,,169494899.0,216038.0,False
Sally J. Lennox,"Director, Alumni Affairs",Slippery Rock University Of Pennsylvania,,,,406.0,,169494899.0,216038.0,False
Carla Hart,"Director, Career Services",Slippery Rock University Of Pennsylvania,,,,406.0,,169494899.0,216038.0,False
Barbara Farah,"Director, Library Services",Slippery Rock University Of Pennsylvania,,,,406.0,,169494899.0,216038.0,False
Edward P. Hess,Controller,Slippery Rock University Of Pennsylvania,,,,406.0,,169494899.0,216038.0,False
Charles A. Zuzak,Dean,Slippery Rock University Of Pennsylvania,College of Arts and Sciences,,,406.0,,169494899.0,216038.0,False
Catherine V. Morsink,Dean,Shippensburg University Of Pennsylvania,College of Education,,,407.0,,139418187.0,216010.0,False
Leona Parascenzo,Acting Dean,Shippensburg University Of Pennsylvania,College of Health and Human Services,,,407.0,,139418187.0,216010.0,False
Frank V. Matrianna,Dean,Shippensburg University Of Pennsylvania,College of Information Science and Business Administration,,,407.0,,139418187.0,216010.0,False
Amy F. Algoe,Trustee,Shippensburg University Of Pennsylvania,,,Council of Trustees (Slippery Rock University of Pennsylvania),407.0,,139418187.0,216010.0,False
Kenneth B. Blair,Secretary,Shippensburg University Of Pennsylvania,,,Council of Trustees (Slippery Rock University of Pennsylvania),407.0,,139418187.0,216010.0,False
Nicholas DeRosa,Chairman,Shippensburg University Of Pennsylvania,,,Council of Trustees (Slippery Rock University of Pennsylvania),407.0,,139418187.0,216010.0,False
Rex Martin,Trustee,Shippensburg University Of Pennsylvania,,,Council of Trustees (Slippery Rock University of Pennsylvania),407.0,,139418187.0,216010.0,False
James H. McCormick,Chancellor,Shippensburg University Of Pennsylvania,,,Council of Trustees (Slippery Rock University of Pennsylvania),407.0,,139418187.0,216010.0,False
James H. McCormick,Ex Officio Trustee,Shippensburg University Of Pennsylvania,,,Council of Trustees (Slippery Rock University of Pennsylvania),407.0,,139418187.0,216010.0,False
Dennis E. Murray,Trustee,Shippensburg University Of Pennsylvania,,,Council of Trustees (Slippery Rock University of Pennsylvania),407.0,,139418187.0,216010.0,False
Mabel R. Paige,Trustee,Shippensburg University Of Pennsylvania,,,Council of Trustees (Slippery Rock University of Pennsylvania),407.0,,139418187.0,216010.0,False
Orvan B. Peterson,Vice Chairman,Shippensburg University Of Pennsylvania,,,Council of Trustees (Slippery Rock University of Pennsylvania),407.0,,139418187.0,216010.0,False
Arlene Quinlan,Trustee,Shippensburg University Of Pennsylvania,,,Council of Trustees (Slippery Rock University of Pennsylvania),407.0,,139418187.0,216010.0,False
Gary Rose,Trustee,Shippensburg University Of Pennsylvania,,,Council of Trustees (Slippery Rock University of Pennsylvania),407.0,,139418187.0,216010.0,False
Michael Wolf,Trustee,Shippensburg University Of Pennsylvania,,,Council of Trustees (Slippery Rock University of Pennsylvania),407.0,,139418187.0,216010.0,False
Madeleine Wing Adler,President,West Chester University Of Pennsylvania,,"Northwestern BA; Wisconsin MA, PhD","Career: Academic Vice President, Framingham State College",407.0,,161171246.0,216764.0,True
Lawrence A. Dowdy,Executive Assistant,West Chester University Of Pennsylvania,,,,407.0,,161171246.0,216764.0,True
Linda Lamwers,Provost,West Chester University Of Pennsylvania,,,,407.0,,161171246.0,216764.0,True
Linda Lamwers,"Vice President, Academic Affairs",West Chester University Of Pennsylvania,,,,407.0,,161171246.0,216764.0,True
Karen Schmid,Associate Provost,West Chester University Of Pennsylvania,,,,407.0,,161171246.0,216764.0,True
Joseph D. Hamel,"Vice President, Administration and Finance",West Chester University Of Pennsylvania,,,,407.0,,161171246.0,216764.0,True
Armand A. Battisti,"Acting Vice President, Advancement",West Chester University Of Pennsylvania,,,,407.0,,161171246.0,216764.0,True
Paul M. Oliaro,"Vice President, Student Affairs",West Chester University Of Pennsylvania,,,,407.0,,161171246.0,216764.0,True
"Philip Rivera, Jr",Associate Vice President. Human Resource Services,West Chester University Of Pennsylvania,,,,407.0,,161171246.0,216764.0,True
Matthew Bricketto,"Associate Vice President, Student Affairs",West Chester University Of Pennsylvania,,,,407.0,,161171246.0,216764.0,True
Matthew Bricketto,Dean Of Students,West Chester University Of Pennsylvania,,,,407.0,,161171246.0,216764.0,True
Alan Seidman,"Assistant Vice President, Enrollment Management",West Chester University Of Pennsylvania,,,,407.0,,161171246.0,216764.0,True
Diane DeVestern,Assistant Vice President. Student Affairs,West Chester University Of Pennsylvania,,,,407.0,,161171246.0,216764.0,True
Gary H. Knock,"Dean, Graduate Studies and Sponsored Research",West Chester University Of Pennsylvania,,,,407.0,,161171246.0,216764.0,True
Marsha Haug,"Director, Admissions",West Chester University Of Pennsylvania,,,,407.0,,161171246.0,216764.0,True
Carole Murray,"Director, Alumni and Special Events",West Chester University Of Pennsylvania,,,,407.0,,161171246.0,216764.0,True
Elizabeth Giangiulio,"Director, Career Development",West Chester University Of Pennsylvania,,,,407.0,,161171246.0,216764.0,True
Frank Q. Helms,"Director, Library Services",West Chester University Of Pennsylvania,,,,407.0,,161171246.0,216764.0,True
Mary Anderson,"Director, Public Relations and Marketing",West Chester University Of Pennsylvania,,,,407.0,,161171246.0,216764.0,True
Samuel Moore,"Director, Research and Planning",West Chester University Of Pennsylvania,,,,407.0,,161171246.0,216764.0,True
David R. Buchanan,Dean,West Chester University Of Pennsylvania,College of Arts and Sciences,,,407.0,,161171246.0,216764.0,True
Christopher M. Fiorentino,Dean,West Chester University Of Pennsylvania,School of Business and Public Affairs,,,407.0,,161171246.0,216764.0,True
Tony Johnson,Dean,West Chester University Of Pennsylvania,School of Education,,,407.0,,161171246.0,216764.0,True
Donald Barr,Dean,West Chester University Of Pennsylvania,School of Health Sciences,,,407.0,,161171246.0,216764.0,True
Timothy V. Blair,Dean,West Chester University Of Pennsylvania,School of Music,,,407.0,,161171246.0,216764.0,True
Carol Aichele,Trustee,West Chester University Of Pennsylvania,,,,407.0,,161171246.0,216764.0,True
Bernard J. Carrozza,Chairman,West Chester University Of Pennsylvania,,,,407.0,,161171246.0,216764.0,True
Barry C. Dozer,Trustee,West Chester University Of Pennsylvania,,,,407.0,,161171246.0,216764.0,True
Thomas A. Fillippo,Trustee,West Chester University Of Pennsylvania,,,,407.0,,161171246.0,216764.0,True
Laurence Harmelin,Vice Chairman,West Chester University Of Pennsylvania,,,,407.0,,161171246.0,216764.0,True
Johanna K. Havlick,Trustee,West Chester University Of Pennsylvania,,,,407.0,,161171246.0,216764.0,True
"William E. Hughes, Sr",Secretary,West Chester University Of Pennsylvania,,,,407.0,,161171246.0,216764.0,True
J. Curtis Joyner,Trustee,West Chester University Of Pennsylvania,,,,407.0,,161171246.0,216764.0,True
James H. McCormick,Chancellor,West Chester University Of Pennsylvania,,,,407.0,,161171246.0,216764.0,True
James H. McCormick,Ex Officio Trustee,West Chester University Of Pennsylvania,,,,407.0,,161171246.0,216764.0,True
Jessie Pincus,Trustee,West Chester University Of Pennsylvania,,,,407.0,,161171246.0,216764.0,True
Syed R. Ali-Zaidi,Governor,Pennsylvania State System Of Higher Education,,"Sheffield (UK) BS; Ohio State MS, PhD","President, Kimaz Corporation",407.0,,29957033.0,,False
Muriel Berman,Governor,Pennsylvania State System Of Higher Education,,Penn Col Optometry BS,Optometrist,407.0,,29957033.0,,False
Zachary I. Cotell,Student Governor,Pennsylvania State System Of Higher Education,,,,407.0,,29957033.0,,False
Jeffrey W. Coy,Governor,Pennsylvania State System Of Higher Education,,,"Member, Pennsylvania House of Representatives",407.0,,29957033.0,,False
F. Eugene Dixon. Jr.,Chairman,Pennsylvania State System Of Higher Education,,,"President, Fairmount Park Commission",407.0,,29957033.0,,False
Daniel P. Elby,Governor,Pennsylvania State System Of Higher Education,,,"Co-Founder and Executive Director, Alternative Rehabilitation Communities, Inc",407.0,,29957033.0,,False
Charles A. Gomulka,Governor,Pennsylvania State System Of Higher Education,,Point Park BS,"President and Chief Executive Officer, Russell, Rea, Zappala & Gomulka Holdings, IncPittsburgh, PA",408.0,,29957033.0,,False
"Eugene W. Hickok, Jr",Governor,Pennsylvania State System Of Higher Education,,Hampden-Sydney; Virginia,"Director, Clarke Center for the Interdisciplinary Study of Contemporary Issues; Special Assistant, U.S. Department of Justice",408.0,,29957033.0,,False
Joy C. Leonard,Student Governor,Pennsylvania State System Of Higher Education,,,,408.0,,29957033.0,,False
Shelby A. Linton,Student Governor,Pennsylvania State System Of Higher Education,,,,408.0,,29957033.0,,False
F. Joseph Loeper,Governor,Pennsylvania State System Of Higher Education,,West Chester,"Member, Pennsylvania State Senate",408.0,,29957033.0,,False
Kim E. Lyttle,Vice Chairperson,Pennsylvania State System Of Higher Education,,Delaware,"Vice President, Public Affairs, National City Bank of Pennsylvania Pittsburgh, PA",408.0,,29957033.0,,False
Thomas J. Ridge,Governor,Pennsylvania State System Of Higher Education,,Harvard; Dickinson,"Governor, State of Pennsylvania",408.0,,29957033.0,,False
David M. Sanko,Governor,Pennsylvania State System Of Higher Education,,East Stroudsburg 1981 BA,"President, Tri-State Consulting; Political Director, Republican State Committee",408.0,,29957033.0,,False
Jere W. Schuler,Governor,Pennsylvania State System Of Higher Education,,Temple,"Member, Pennsylvania House of Representatives",408.0,,29957033.0,,False
"Patrick J. Stapleton, Jr.",Governor,Pennsylvania State System Of Higher Education,,Penn State,Member. Pennsylvania State Senate Indiana. PA,408.0,,29957033.0,,False
John K. Thornburgh,Governor,Pennsylvania State System Of Higher Education,,Bucknell BA: Duke,"President, Penn's Southwest Association Pittsburgh, PA",408.0,,29957033.0,,False
Christine Jack Toretti,Governor,Pennsylvania State System Of Higher Education,,Virginia,"President, S. W. Jack Drilling Company Indiana, PA",408.0,,29957033.0,,False
R. Benjamin Wiley,Vice Chairman,Pennsylvania State System Of Higher Education,,,"Executive Director, Greater Erie Community Action Committee Erie, PA",408.0,,29957033.0,,False
Graham B. Spanier,President,Pennsylvania State University,,"Iowa State 1969 BS, 1971 MS; Northwestern 1973 PhD",,408.0,,130769515.0,495767.0,True
Richard D. DiEugenio,"Special Assistant, Governmental Affairs",Pennsylvania State University,,,,408.0,,130769515.0,495767.0,True
Rodney Erickson,Provost,Pennsylvania State University,,,,408.0,,130769515.0,495767.0,True
Rodney Erickson,Executive Vice President,Pennsylvania State University,,,,408.0,,130769515.0,495767.0,True
Gary Charles Schultz,"Senior Vice President, Finance And Business",Pennsylvania State University,,"Penn State 1971 BS, 1975 MS",,408.0,,130769515.0,495767.0,True
Gary Charles Schultz,Treasurer,Pennsylvania State University,,"Penn State 1971 BS, 1975 MS",,408.0,,130769515.0,495767.0,True
C. McCollister Evarts,Senior Vice President,Pennsylvania State University,,,,408.0,,130769515.0,495767.0,True
C. McCollister Evarts,Health Affairs,Pennsylvania State University,,,,408.0,,130769515.0,495767.0,True
C. McCollister Evarts,"Chief Executive Officer, The Milton S. Hershey Medical Center",Pennsylvania State University,,,,408.0,,130769515.0,495767.0,True
C. McCollister Evarts,"Dean, College Of Medicine (Until June 30. 2000)",Pennsylvania State University,,,,408.0,,130769515.0,495767.0,True
Janis Jacobs,"Vice President, Administration",Pennsylvania State University,,,,408.0,,130769515.0,495767.0,True
Rodney P. Kirsch,"Vice President, Development and Alumni Relations",Pennsylvania State University,,,,408.0,,130769515.0,495767.0,True
James H. Rvan,"Vice President, Outreach and Cooperative Education",Pennsylvania State University,,,,408.0,,130769515.0,495767.0,True
Eva Pell,"Vice President, Research",Pennsylvania State University,,,,408.0,,130769515.0,495767.0,True
Eva Pell,"Dean, Graduate School (Acting)",Pennsylvania State University,,,,408.0,,130769515.0,495767.0,True
William W. Asbury,"Vice President, Student Affairs",Pennsylvania State University,,,,408.0,,130769515.0,495767.0,True
Robert T. McGrath,"Associate Vice President, Research",Pennsylvania State University,,,,408.0,,130769515.0,495767.0,True
Robert T. McGrath,Directorstrategic And Interdisciplinary Initiatives,Pennsylvania State University,,,,408.0,,130769515.0,495767.0,True
Robert Killoren,"Assistant Vice President, Research",Pennsylvania State University,,,,408.0,,130769515.0,495767.0,True
Robert Killoren,"Director, Sponsored Programs",Pennsylvania State University,,,,408.0,,130769515.0,495767.0,True
John J. Romano,Vice Provost,Pennsylvania State University,,,,408.0,,130769515.0,495767.0,True
John J. Romano,"Dean, Enrollment Management And Administration",Pennsylvania State University,,,,408.0,,130769515.0,495767.0,True
John J. Cahir,Vice Provost,Pennsylvania State University,,,,408.0,,130769515.0,495767.0,True
John J. Cahir,Dean. Undergraduate Education,Pennsylvania State University,,,,408.0,,130769515.0,495767.0,True
Robert Secor,"Vice Provost, Academic Affairs and Personnel",Pennsylvania State University,,,,408.0,,130769515.0,495767.0,True
Walter T. Jones,"Vice Provost, Educational Equity",Pennsylvania State University,,,,408.0,,130769515.0,495767.0,True
J. Gary Augustson,"Vice Provost, Information Systems",Pennsylvania State University,,,,408.0,,130769515.0,495767.0,True
Thomas G. Poole,"Associate Vice Provost, Educational Equity",Pennsylvania State University,,,,408.0,,130769515.0,495767.0,True
Beverly Lindsay,"Dean, International Programs",Pennsylvania State University,,,,408.0,,130769515.0,495767.0,True
Nancy Eaton,"Dean, University Libraries",Pennsylvania State University,,,,408.0,,130769515.0,495767.0,True
Stephen J. MacCarthy,Executive Director. University Relations,Pennsylvania State University,,,,408.0,,130769515.0,495767.0,True
Jack R. Rayman,"Director, Career Services",Pennsylvania State University,,,,408.0,,130769515.0,495767.0,True
William Bishop,"Director, Audio-Visual Services",Pennsylvania State University,,,,408.0,,130769515.0,495767.0,True
David Lieb,"Director, University Development",Pennsylvania State University,,,"Associate Vice President, Development, California University of Pennsylvania",409.0,,130769515.0,495767.0,True
Kenneth S. Babe,Corporate Controller,Pennsylvania State University,,,,409.0,,130769515.0,495767.0,True
Lee Stout,University Archivist,Pennsylvania State University,,,,409.0,,130769515.0,495767.0,True
Robert D. Steele,Dean,Pennsylvania State University,College of Agricultural Sciences,,,409.0,,130769515.0,495767.0,True
Neil H. Porterfield,Dean,Pennsylvania State University,College of Arts and Architecture,,,409.0,,130769515.0,495767.0,True
Marvin Goldberg,Acting Dean,Pennsylvania State University,The Mary Jean and Frank P. Smeal College of Business Administration,,,409.0,,130769515.0,495767.0,True
Joseph Strasser,Dean,Pennsylvania State University,Commonwealth College,,,409.0,,130769515.0,495767.0,True
Douglas A. Anderson,Dean,Pennsylvania State University,College of Communications,,,409.0,,130769515.0,495767.0,True
John A. Dutton,Dean,Pennsylvania State University,College of Earth and Mineral Sciences,,,409.0,,130769515.0,495767.0,True
David H. Monk,Dean,Pennsylvania State University,College of Education,,,409.0,,130769515.0,495767.0,True
David N. Wormley,Dean,Pennsylvania State University,College of Engineering,,,409.0,,130769515.0,495767.0,True
Barbara M. Shannon,Dean,Pennsylvania State University,College of Health and Human Development,,,409.0,,130769515.0,495767.0,True
Cheryl Achterberg,Dean,Pennsylvania State University,The Schreyer Honors College,,,409.0,,130769515.0,495767.0,True
James B. Thomas,Dean,Pennsylvania State University,School of Information Sciences and Technology,Penn State 1974 BA; Florida State MA; Texas 1988 PhD,"University of Texas at Austin; Florida State University; Director, Information Management Systems, Florida Department of State, 1980-82; Head Analyst, Florida State Legislature, 1982-83; Director, Special Projects, Office of the Texas Secretary of State, 1985-86",409.0,,130769515.0,495767.0,True
Charles W. Craven,"Director, Development",Pennsylvania State University,School of Information Sciences and Technology,,,409.0,,130769515.0,495767.0,True
Peter G. Glenn,Dean,Pennsylvania State University,The Dickinson School of Law of the Pennsylvania State University,,,409.0,,130769515.0,495767.0,True
Jack Rayman,"Director, Career Services",Pennsylvania State University,The Dickinson School of Law of the Pennsylvania State University,,,409.0,,130769515.0,495767.0,True
James R. Fox,"Director, Law Library",Pennsylvania State University,The Dickinson School of Law of the Pennsylvania State University,,,409.0,,130769515.0,495767.0,True
Susan Welch,Dean,Pennsylvania State University,College of Liberal Arts,,Member of the Board,409.0,,130769515.0,495767.0,True
C. McCollister Evarts,Dean,Pennsylvania State University,College of Medicine,,"Until June 30, 2000",409.0,,130769515.0,495767.0,True
C. McCollister Evarts,"Chief Executive Officer, The Milton S. Hershey Medical Center",Pennsylvania State University,College of Medicine,,"Until June 30, 2000",409.0,,130769515.0,495767.0,True
C. McCollister Evarts,"Senior Vice President, Pennsylvania State University Health Affairs",Pennsylvania State University,College of Medicine,,"Until June 30, 2000",409.0,,130769515.0,495767.0,True
Daniel J. Larson,Dean,Pennsylvania State University,Eberly College of Science,,,409.0,,130769515.0,495767.0,True
Davie Jane Gilmour,President,Pennsylvania State University,Pennsylvania College of Technology,,,409.0,,130769515.0,495767.0,True
Eva Pell,Dean,Pennsylvania State University,Graduate School,,,409.0,,130769515.0,495767.0,True
Eva Pell,"Vice President, Research (Acting)",Pennsylvania State University,Graduate School,,,409.0,,130769515.0,495767.0,True
Karen Wiley Sandler,Dean,Pennsylvania State University,Pennsylvania State University - Abington,,,409.0,,130769515.0,495767.0,True
Karen Wiley Sandler,Campus Executive Officer,Pennsylvania State University,Pennsylvania State University - Abington,,,409.0,,130769515.0,495767.0,True
