Name,Position,Institution,SubInstitution,Education,Other Affiliation,Career,Notes,Tel,Unnamed: 9,AffiliationId,carnegie_id,level_0,index,FixedPosition,PrimarySample,StateSystem
Martin Y. Tang,Member,Massachusetts Institute Of Technology,,,"Managing Director, Officers and Management Jardine House, 1 Connaught Place, Room 4013-19, Hong Kong, China SAR",,,,,63966007.0,166683.0,,,Member,True,
H. Allen Baldree,Trustee,Mercer University,,,,,,,,150149174.0,140447.0,,,Trustee,True,
M. Diane Owens,Trustee,Mercer University,,"Mercer 1977 AB, 1980 JD",,,,,,150149174.0,140447.0,,,Trustee,True,
"L. Richard Plunkett, Jr",Trustee,Mercer University,,,,,,,,150149174.0,140447.0,,,Trustee,True,
Kenneth D. Sams,Trustee,Mercer University,,,,,,,,150149174.0,140447.0,,,Trustee,True,
W. David Sapp,Trustee,Mercer University,,,,,,,,150149174.0,140447.0,,,Trustee,True,
Richard A. Schneider,Trustee,Mercer University,,,,,,,,150149174.0,140447.0,,,Trustee,True,
William L. Self,Trustee,Mercer University,,,,,,,,150149174.0,140447.0,,,Trustee,True,
Robert L. Steed,Trustee,Mercer University,,,,,,,,150149174.0,140447.0,,,Trustee,True,
Hugh P. Thompson,Trustee,Mercer University,,Emory 1964; Oglethorpe 1965; Mercer 1969 JD,,,,,,150149174.0,140447.0,,,Trustee,True,
Jackson P. Turner,Trustee,Mercer University,,,,,,,,150149174.0,140447.0,,,Trustee,True,
"James Thomas Turner, Jr",Trustee,Mercer University,,Mercer 1973,,,,,,150149174.0,140447.0,,,Trustee,True,
William D. Underwood,Ex Officio Trustee,Mercer University,,,,,,,,150149174.0,140447.0,,,"Trustee, Ex Officio",True,
"Raymond M. ""Thad"" Warren III",Trustee,Mercer University,,Mercer 1986,,,,,,150149174.0,140447.0,,,Trustee,True,
Howell L. Watkins II,Trustee,Mercer University,,,,,,,,150149174.0,140447.0,,,Trustee,True,
Al Williams,Trustee,Mercer University,,,,,,,,150149174.0,140447.0,,,Trustee,True,
James R. Williams,Trustee,Mercer University,,,,,,,,150149174.0,140447.0,,,Trustee,True,
William M. Wilson,Trustee,Mercer University,,,,,,,,150149174.0,140447.0,,,Trustee,True,
William A. Moye,Trustee,Mercer University,,,,,,,,150149174.0,140447.0,,,Trustee,True,
"Robert L. Moore, Jr.",Trustee,Mercer University,,,,,,,,150149174.0,140447.0,,,Trustee,True,
Curtis L. Pickels,Trustee,Mercer University,,,,,,,,150149174.0,140447.0,,,Trustee,True,
Carolyn T. McAfee,Trustee,Mercer University,,,,,,,,150149174.0,140447.0,,,Trustee,True,
Barbara Baugh,Trustee,Mercer University,,,,,,,,150149174.0,140447.0,,,Trustee,True,
Gus H. Bell III,Trustee,Mercer University,,,,,,,,150149174.0,140447.0,,,Trustee,True,
Thomas B. Black,Trustee,Mercer University,,,,,,,,150149174.0,140447.0,,,Trustee,True,
"Malcolm S. Burgess, Jr",Trustee,Mercer University,,,,,,,,150149174.0,140447.0,,,Trustee,True,
Mary Jane Cardwell,Trustee,Mercer University,,,,,,,,150149174.0,140447.0,,,Trustee,True,
Sam Mitchell,Trustee,Mercer University,,,,,,,,150149174.0,140447.0,,,Trustee,True,
James H. Cowart,Trustee,Mercer University,,,,,,,,150149174.0,140447.0,,,Trustee,True,
C. Gregory DeLoach II,Trustee,Mercer University,,,,,,,,150149174.0,140447.0,,,Trustee,True,
"James C. Elder, Jr",Trustee,Mercer University,,,,,,,,150149174.0,140447.0,,,Trustee,True,
Roddy J. H. Clark,Trustee,Mercer University,,Mercer 1968,,,,,,150149174.0,140447.0,,,Trustee,True,
C. Bruce Gordy,Trustee,Mercer University,,,,,,,,150149174.0,140447.0,,,Trustee,True,
"Milton M. Ferrell, Jr.",Trustee,Mercer University,,,,,,,,150149174.0,140447.0,,,Trustee,True,
David E. Linch,Trustee,Mercer University,,,,,,,,150149174.0,140447.0,,,Trustee,True,
Spencer B. King III,Trustee,Mercer University,,,,,,,,150149174.0,140447.0,,,Trustee,True,
"N. Dudley Horton, Jr",Trustee,Mercer University,,,,,,,,150149174.0,140447.0,,,Trustee,True,
Cathy Callaway Adams,Trustee,Mercer University,,Mercer 1981 BBA; Georgia State MBA,,,,,,150149174.0,140447.0,,,Trustee,True,
"William Andrew ""Andy"" Haggard",Trustee,Mercer University,,Florida State 1964; Mercer 1967,"Senior Partner, Haggard, Parks, Haggard & Lewis, P.A330 Alhambra Circle, Coral Gables, FL 33134 Tel: (305) 446-5700",,,,,150149174.0,140447.0,,,Trustee,True,
Benjamin W. Griffith,Trustee,Mercer University,,,,,,,,150149174.0,140447.0,,,Trustee,True,
Nancy A. Grace,Trustee,Mercer University,,,,,,,,150149174.0,140447.0,,,Trustee,True,
James H. Hall III,Trustee,Mercer University,,Mercer 1960,,,,,,150149174.0,140447.0,,,Trustee,True,
Lou Anna K. Simon,Ex Officio Trustee,Michigan State University,,Michigan State 1966 BA; Harvard 1969 JD,,,,,,87216513.0,171100.0,,,"Trustee, Ex Officio",True,
G. Scott Romney,Trustee,Michigan State University,,,,,,,,87216513.0,171100.0,,,Trustee,True,
George Perles,Trustee,Michigan State University,,,,,,,,87216513.0,171100.0,,,Trustee,True,
Faylene Owen,Trustee,Michigan State University,,,,,,,,87216513.0,171100.0,,,Trustee,True,
Colleen M. McNamara,Trustee,Michigan State University,,,,,,,,87216513.0,171100.0,,,Trustee,True,
Dorothy V. Gonzales,Trustee,Michigan State University,,,,,,,,87216513.0,171100.0,,,Trustee,True,
Joel Ferguson,Chairman,Michigan State University,,,,,,,,87216513.0,171100.0,,,Board President,True,
Melanie Foster,Vice Chairman,Michigan State University,,,,,,,,87216513.0,171100.0,,,Board Vice President,True,
Donald W. Nugent,Trustee,Michigan State University,,,,,,,,87216513.0,171100.0,,,Trustee,True,
Rodger A. Kershner,Board Member,Michigan Technological University,,,,,,,,11957088.0,171128.0,,,Member,True,
Martha K. Richardson,Board Member,Michigan Technological University,,Michigan Tech MS,"President, Services Marketing Specialists, Inc",,,,,11957088.0,171128.0,,,Member,True,
Ruth A. Reck,Board Member,Michigan Technological University,,,"Professor, University of California, Davis",,,,,11957088.0,171128.0,,,Member,True,
Glenn D. Mroz,Ex Officio Board Member,Michigan Technological University,,,,,,,,11957088.0,171128.0,,,"Member, Ex Officio",True,
Stephen J. Hicks,Board Member,Michigan Technological University,,Wayne State 1971 BS; Detroit 1976 JD 00S .0E rul,"Of Counsel, Howard & Howard Attorneys, P.C39400 Woodward Avenue, Bloomfield Hills, MI 48304",,,,,11957088.0,171128.0,,,Member,True,
"David J. Brule, Sr",Board Member,Michigan Technological University,,,,,,,,11957088.0,171128.0,,,Member,True,
Daniel D. Greenlee,Treasurer,Michigan Technological University,,Michigan Tech 1969 BS; Wayne State 1982 MS TAR (21D,"President, Orchard Hiltz, & McCliment, Inc3400 Plymouth Road, Livonia, MI 481500.0",,,,,11957088.0,171128.0,,,Other Board Member,True,
Kathryn I. Clark,Chairman,Michigan Technological University,,Michigan PhD,"President, Docere LLC",,,,,11957088.0,171128.0,,,Board President,True,
Russell A. Gronevelt,Vice Chairman,Michigan Technological University,,,"President, Orchard Hiltz, & McCliment, Inc3400 Plymouth Road, Livonia, MI 481500.0",,,,,11957088.0,171128.0,,,Board Vice President,True,
Susan A. Cole,Trustee,Montclair State University,,,,,,,,166088655.0,185590.0,,,Trustee,True,
"Susan L. Blount, Esq.",Trustee,Montclair State University,,"Texas AB, JD","Senior Vice President and General Counsel, Prudential Financial, Inc751 Broad Street, Newark, NJ 07102-3777",,,,,166088655.0,185590.0,,,Trustee,True,
Rose C. Cali,Trustee,Montclair State University,,Montclair State Col BA,"Founder and Education Advocate, Yogi Berra Museum and Learning Center",,,,,166088655.0,185590.0,,,Trustee,True,
Preston D. Pinkett III,Secretary,Montclair State University,,Pennsylvania MBA; Cornell 1984 BS,New Jersey Economic Secretary,,,,,166088655.0,185590.0,,,Other Board Member,True,
Norma Connolly,Faculty Representative,Montclair State University,,,,,,,,166088655.0,185590.0,,,Other Board Member,True,
Carlos G. Ortiz,Trustee,Montclair State University,,CUNY BS; Brooklyn Law JD,"Goya Foods, IncTrustee",,,,,166088655.0,185590.0,,,Trustee,True,
Christine L. Padilla,Trustee,Montclair State University,,,"BIT Solutions, LLC",,,,,166088655.0,185590.0,,,Trustee,True,
Mitchell E. Hersh,Trustee,Montclair State University,,Ohio BA,"President and Chief Executive Officer, Mack-Cali Realty Corporation 343 Thornall Street, Edison, NJ 08837-2206",,,,,166088655.0,185590.0,,,Trustee,True,
George J. Hiltzik,Trustee,Montclair State University,,Cornell 1967 BS; Columbia 1970 JD,"Agent, N. S. Bienstock, Inc250 West 57th Street, Suite 333, New York, NY 10107",,,,,166088655.0,185590.0,,,Trustee,True,
Ian Honauer,Student Representative,Montclair State University,,,,,,,,166088655.0,185590.0,,,Other Board Member,True,
Ralph A. LaRossa,Vice Chairman,Montclair State University,,Stevens BE,"President and Chief Operating Officer, Public Service Electric and Gas Company P.O. Box 570, Newark, NJ 07101",,,,,166088655.0,185590.0,,,Board Vice President,True,
Douglas L. Kennedy,Chairman,Montclair State University,,"Sacred Heart U BSEc, MBA","President, New Jersey Division, North Fork Bank",,,,,166088655.0,185590.0,,,Board President,True,
Heather McCarty,Student Representative,Montclair State University,,,,,,,,166088655.0,185590.0,,,Other Board Member,True,
John L. McGoldrick,Trustee,Montclair State University,,"Harvard 1963 AB, 1966 LLB","Executive Vice President and General Counsel, Bristol-Myers Squibb Company (2000-2005)",,,,,166088655.0,185590.0,,,Trustee,True,
William T. Mullen,Trustee,Montclair State University,,,"President and Business Manager, Iron Workers Local 11, New Jersey State Building & Contruction Trades Council",,,,,166088655.0,185590.0,,,Trustee,True,
Marilyn H. O'Connell,Trustee,Montclair State University,,Kansas; Pepperdine MBA,"Verizon Telecom, Verizon Trusted Communications Inc",,,,,166088655.0,185590.0,,,Trustee,True,
Patrick G. LePore,Trustee,Montclair State University,,Villanova 1977 BA; Fairleigh Dickinson MBA,"Executive Vice President, Cardinal Health, Inc",,,,,166088655.0,185590.0,,,Trustee,True,
Priscilla P. Nelson,Overseer,New Jersey Institute Of Technology,,,,,,,,118118575.0,185828.0,,,Overseer,True,
John J. Nallin,Overseer,New Jersey Institute Of Technology,,,"Vice President, United Parcel Service, Inc allot 55 Glenlake Parkway, NE, Atlanta, GA 30328",,,,,118118575.0,185828.0,,,Overseer,True,
Vincent J. Naimoli,Overseer,New Jersey Institute Of Technology,,Notre Dame 1959 BSME; NJIT 1962 MSME; Fairleigh Dickinson 1974 MBA,"Chairman, Tampa Bay Devil Rays",,,,,118118575.0,185828.0,,,Overseer,True,
James G. Medeiros,Overseer,New Jersey Institute Of Technology,,Rowan U; Loyola Col (MD),"Vice President, Information Systems, United Parcel Service, Inc55 Glenlake Parkway, NE, Atlanta, GA 30328",,,,,118118575.0,185828.0,,,Overseer,True,
Raymond J. McGowan,Overseer,New Jersey Institute Of Technology,,NJIT 1964,"Vice President, ExxonMobil Chemical Company moW a Te 1103 VW amov and sloriD reins) ogeiliv 2002.car rears",,,,,118118575.0,185828.0,,,Overseer,True,
George M. Newcombe,Overseer,New Jersey Institute Of Technology,,NJIT 1969,"Partner, Simpson Thacher & Bartlett LLP",,,,,118118575.0,185828.0,,,Overseer,True,
Robert A. Altenkirch,Overseer,New Jersey Institute Of Technology,,,,,,,,118118575.0,185828.0,,,Overseer,True,
John H. Olson,Overseer,New Jersey Institute Of Technology,,"NJIT 1961, 1966",,,,,,118118575.0,185828.0,,,Overseer,True,
Veronica G. Pellizzi,Overseer,New Jersey Institute Of Technology,,NJIT 1984,"Senior Vice President, Enterprise Sales, Verizon Communications Inc140 West Street, New York, NY 10007",,,,,118118575.0,185828.0,,,Overseer,True,
Ronald D. Polucki,Overseer,New Jersey Institute Of Technology,,NJIT 1966 BSChE,,,,,,118118575.0,185828.0,,,Overseer,True,
Louis E. Prezeau,Overseer,New Jersey Institute Of Technology,,,President and Chief Executive Officer. City National Bank of New Jersey,,,,,118118575.0,185828.0,,,Overseer,True,
Teresa Truppi Prieto,Overseer,New Jersey Institute Of Technology,,NJIT 1988,,,,,,118118575.0,185828.0,,,Overseer,True,
Thomas V. Reilly,Overseer,New Jersey Institute Of Technology,,"Rutgers BCE, BSE","Vice President and General Manager, Washington, D.C., Turner Construction Company 3865 Wilson Boulevard, Suite 200, Arlington, VA 22203",,,,,118118575.0,185828.0,,,Overseer,True,
Philip L. Rinaldi,Overseer,New Jersey Institute Of Technology,,NJIT 1968,,,,,,118118575.0,185828.0,,,Overseer,True,
John W. Seazholtz,Overseer,New Jersey Institute Of Technology,,NJIT 1959,"Chairman of the Board, Board of Directors, Westell Technologies, Inc750 North Commons Drive, Aurora, IL 60504",,,,,118118575.0,185828.0,,,Overseer,True,
Stephanie Tonic,Overseer,New Jersey Institute Of Technology,,,"Senior Vice President, Wachovia Bank, NA 100 N. Main St., Winston-Salem, NC 27101",,,,,118118575.0,185828.0,,,Overseer,True,
Martin Tuchman,Overseer,New Jersey Institute Of Technology,,NJIT 1962,"Chairman and Chief Executive Officer, Interpool, Inc 211 College Road East, Princeton, NJ 08540",,,,,118118575.0,185828.0,,,Overseer,True,
Henry A. Mauermeyer,Secretary,New Jersey Institute Of Technology,,,,,,,,118118575.0,185828.0,,,Other Board Member,True,
Henry A. Mauermeyer,Assistant Treasurer,New Jersey Institute Of Technology,,,,,,,,118118575.0,185828.0,,,Other Board Member,True,
Irwin Dorros,Overseer,New Jersey Institute Of Technology,,,"Consultant, Dorros Associates",,,,,118118575.0,185828.0,,,Overseer,True,
Emil C. Herkert,Chairman,New Jersey Institute Of Technology,,,"Chairman and Chief Executive Officer, Hatch Mott McDonald. Infrastructure and Environment",,,,,118118575.0,185828.0,,,Board President,True,
Gabriel P. Caprio,Overseer,New Jersey Institute Of Technology,,Seton Hall 1959 BA; NYU 1975 MBA silas,"President and Chief Executive Officer, Amalgamated Bank",,,,,118118575.0,185828.0,,,Overseer,True,
Norma J. Clayton,Overseer,New Jersey Institute Of Technology,,NJIT 1981,"Vice President, Supplier Management, Boeing Integrated Defense Systems, The Boeing Company P.O. Box 516, St. Louis, MO 63166-0516",,,,,118118575.0,185828.0,,,Overseer,True,
"James J. Coleman, Jr",Overseer,New Jersey Institute Of Technology,,,"Chairman, International Mate Tank Terminals",,,,,118118575.0,185828.0,,,Overseer,True,
"Charles R. Dees, Jr",Overseer,New Jersey Institute Of Technology,,,,,,,,118118575.0,185828.0,,,Overseer,True,
J. Robert Hillier,Overseer,New Jersey Institute Of Technology,,,"Chairman, The Hillier Group",,,,,118118575.0,185828.0,,,Overseer,True,
Derish Wolff,Overseer,New Jersey Institute Of Technology,,,"Chairman, Berger Group Holdings, Inc",,,,,118118575.0,185828.0,,,Overseer,True,
Michael A. Wall,Overseer,New Jersey Institute Of Technology,,,"Senior Vice President, Capital One Bank (USA)National Association 1680 Capital One Drive, McLean, VA 22102-3491",,,,,118118575.0,185828.0,,,Overseer,True,
Jerome Drexler,Overseer,New Jersey Institute Of Technology,,NJIT 1955,"Chairman and President, Drexler Technology Corporation",,,,,118118575.0,185828.0,,,Overseer,True,
Caren L. Freyer-DeSouza,Overseer,New Jersey Institute Of Technology,,,"Vice President and Director, New Jersey Government Relations, Parsons Brinckerhoff Quade & Douglas, Inc",,,,,118118575.0,185828.0,,,Overseer,True,
John J. Fumosa,Overseer,New Jersey Institute Of Technology,,NJIT 1974,"Executive Vice President, Hunter Roberts Construction Group",,,,,118118575.0,185828.0,,,Overseer,True,
David C. Garfield,Overseer,New Jersey Institute Of Technology,,,"President, Ingersoll-Rand Co. diaid is",,,,,118118575.0,185828.0,,,Overseer,True,
Albert A. Dorman,Overseer,New Jersey Institute Of Technology,,NJIT 1945,"Chairman, AECOM",,,,,118118575.0,185828.0,,,Overseer,True,
Steven H. Bloom,Trustee,New School,,SUNY (Binghamton) BA; Michigan MPH,,,,,,102179633.0,193654.0,,,Trustee,True,
Susan Lyne,Trustee,New School,,,"Chief Executive Officer, Gilt Groupe, Inc40 West 20th Street, 7th Floor, New York, NY 10011",,,,,102179633.0,193654.0,,,Trustee,True,
Robert B. Millard,Treasurer,New School,,MIT 1973 SB; Harvard 1976 MBA,,,,,,102179633.0,193654.0,,,Other Board Member,True,
Robert H. Mundheim,Trustee,New School,,Harvard 1954 BA. 1957 LLB,,,,,,102179633.0,193654.0,,,Trustee,True,
Eileen Naughton,Trustee,New School,,,,,,,,102179633.0,193654.0,,,Trustee,True,
Jonathan Newcomb,Trustee,New School,,,"Senior Advisor, Coady Diemar Partners, LLC 1370 Avenue of the Americas, New York, NY 10019 Tel: (212) 901-2600",,,,,102179633.0,193654.0,,,Trustee,True,
Nancy B. Peretsman,Trustee,New School,,Princeton 1976: Yale 1979 MPPM,"Executive Vice President and Managing Director, Allen & Company Incorporated 711 Fifth Avenue, New York, NY 10022 Tel: (212) 832-8000",,,,,102179633.0,193654.0,,,Trustee,True,
Marylin L. Prince,Trustee,New School,,,"Partner, PrinceGoldsmith LLC 420 Lexington Avenue, New York, NY 10170 Tel: (212) 883-7390",,,,,102179633.0,193654.0,,,Trustee,True,
"Richard Reiss, Jr",Trustee,New School,,Dartmouth AB: NYU 1969 JD,,,,,,102179633.0,193654.0,,,Trustee,True,
Ramon J. Rodriguez,Trustee,New School,,,,,,,,102179633.0,193654.0,,,Trustee,True,
Joshua W. Sapan,Trustee,New School,,,,,,,,102179633.0,193654.0,,,Trustee,True,
Richard J. Bressler,Trustee,New School,,Adelphi 1979 BBA,,,,,,102179633.0,193654.0,,,Trustee,True,
William D. Zabel,Trustee,New School,,Princeton 1958 BA; Harvard 1961 LLB,,,,,,102179633.0,193654.0,,,Trustee,True,
Mrs. James C. Slaughter,Trustee,New School,,,,,,,,102179633.0,193654.0,,,Trustee,True,
Malcolm B. Smith,Trustee,New School,,,,,,,,102179633.0,193654.0,,,Trustee,True,
William J. Snipes,Trustee,New School,,Albany State Col 1980 BS; Howard U 1983 JD; Harvard 1986 LLM,,,,,,102179633.0,193654.0,,,Trustee,True,
Elliot Stein,Trustee,New School,,,,,,,,102179633.0,193654.0,,,Trustee,True,
Julien J. Studley,Chairman,New School,,,"Chairman and Chief Executive Officer, Studley New Vistas Associates 505 Park Avenue. New York, NY 10022 Tel: (212) 759-7300",,,,,102179633.0,193654.0,,,Board President,True,
Sally Susman,Trustee,New School,,Connecticut Col 1984 BA,,,,,,102179633.0,193654.0,,,Trustee,True,
Stephen C. Swid,Trustee,New School,,,,,,,,102179633.0,193654.0,,,Trustee,True,
John L. Tishman,Vice Chairman,New School,,Michigan BS,,,,,,102179633.0,193654.0,,,Board Vice President,True,
George Walker,Vice Chairman,New School,,"Pennsylvania 1991 BA; Wharton 1991 BS, 1992 MBA",,,,,,102179633.0,193654.0,,,Board Vice President,True,
Nancy Dorn,Trustee,New School,,Chicago 1997 BA,,,,,,102179633.0,193654.0,,,Trustee,True,
Lilian Shiao-Yen Wu,Trustee,New School,,,,,,,,102179633.0,193654.0,,,Trustee,True,
Bernard Leon Schwartz,Vice Chairman,New School,,CCNY 1948 BS,,,,,,102179633.0,193654.0,,,Board Vice President,True,
Philip Scaturro,Vice Chairman,New School,,,"Managing Director, Allen & Company Incorporated",,,,,102179633.0,193654.0,,,Board Vice President,True,
Kent A. Clark,Trustee,New School,,,"Managing Director and Chief Information Officer, Hedge Fund Strategies, The Goldman Sachs Group, Inc32 Old Slip, New York, NY 10005 Tel: (212) 855-9928",,,,,102179633.0,193654.0,,,Trustee,True,
Robert E. Denham,Trustee,New School,,"Texas 1966 BA; Harvard 1968 MA, 1971 JD",,,,,,102179633.0,193654.0,,,Trustee,True,
Eugene M. Lang,Trustee,New School,,Columbia 1940 MS,,,,,,102179633.0,193654.0,,,Trustee,True,
"Leo J. Hindery, Jr.",Trustee,New School,,Seattle BA; Stanford 1971 MBA,,,,,,102179633.0,193654.0,,,Trustee,True,
Robert F. Hoerle,Trustee,New School,,Yale 1956 BS; Harvard 1962 MBA,,,,,,102179633.0,193654.0,,,Trustee,True,
Sheila C. Johnson,Trustee,New School,,,,,,,,102179633.0,193654.0,,,Trustee,True,
Michael J. Johnston,Trustee,New School,,,,,,,,102179633.0,193654.0,,,Trustee,True,
Richard L. Kauffman,Trustee,New School,,Stanford 1979 BA; Yale 1983 MA,,,,,,102179633.0,193654.0,,,Trustee,True,
J. Robert Kerrey,Trustee,New School,,,,,,,,102179633.0,193654.0,,,Trustee,True,
George W. Haywood,Trustee,New School,,,,,,,,102179633.0,193654.0,,,Trustee,True,
William H. Hayden,Trustee,New School,,,,,,,,102179633.0,193654.0,,,Trustee,True,
William E. Havemeyer,Vice Chairman,New School,,,,,,,,102179633.0,193654.0,,,Board Vice President,True,
Jane D. Hartley,Trustee,New School,,,,,,,,102179633.0,193654.0,,,Trustee,True,
Susan U. Halpern,Trustee,New School,,,,,,,,102179633.0,193654.0,,,Trustee,True,
Paul A. Gould,Trustee,New School,,Fairleigh Dickinson 1975 BS,,,,,,102179633.0,193654.0,,,Trustee,True,
Michael E. Gellert,Vice Chairman,New School,,Harvard 1953 AB: Wharton 1955 MBA,,,,,,102179633.0,193654.0,,,Board Vice President,True,
Nancy A. Garvey,Trustee,New School,,Barnard 1971,,,,,,102179633.0,193654.0,,,Trustee,True,
Michael J. Fuchs,Trustee,New School,,,,,,,,102179633.0,193654.0,,,Trustee,True,
Michael B. G. Froman,Trustee,New School,,Princeton 1985 BA; Oxford (UK) DPhil Harvard 1991 JD,,,,,,102179633.0,193654.0,,,Trustee,True,
David B. Ford,Trustee,New School,,Florida State 1968; Pennsylvania 1970 MBA,"Managing Director and Co-Director, Global Asset Management, Goldman, Sachs & Co",,,,,102179633.0,193654.0,,,Trustee,True,
Susan L. Foote,Trustee,New School,,,,,,,,102179633.0,193654.0,,,Trustee,True,
Cheryl Cohen Effron,Trustee,New School,,Brown 1987,,,,,,102179633.0,193654.0,,,Trustee,True,
Walter A. Eberstadt,Trustee,New School,,,,,,,,102179633.0,193654.0,,,Trustee,True,
Douglas David Durst,Trustee,New School,,UC Berkeley 1966,,,,,,102179633.0,193654.0,,,Trustee,True,
Beth Rudin DeWoody,Trustee,New School,,,,,,,,102179633.0,193654.0,,,Trustee,True,
Elizabeth Comstock,Trustee,New School,,,,,,,,102179633.0,193654.0,,,Trustee,True,
Franci J. Blassberg,Vice Chairman,New School,,"Cornell 1975 AB, 1977 JD",,,,,,102179633.0,193654.0,,,Board Vice President,True,
Bevis Longstreth,Trustee,New School,,Princeton 1965; Harvard 1961 JD,,,,,,102179633.0,193654.0,,,Trustee,True,
Henry H. Arnhold,Trustee,New School,,UCLA,,,,,,102179633.0,193654.0,,,Trustee,True,
Arnold H. Aronson,Vice Chairman,New School,,,,,,,,102179633.0,193654.0,,,Board Vice President,True,
Diane P. Baker,Trustee,New School,,,,,,,,102179633.0,193654.0,,,Trustee,True,
Peggy Brim Bewkes,Trustee,New School,,,,,,,,102179633.0,193654.0,,,Trustee,True,
Charles J. Hinkaty,Trustee,New York University,,"Poly Inst New York BS, MS","President and Chief Executive Officer, Del Laboratories, Inc. (2005-2008)",,,,,57206974.0,193900.0,,,Trustee,True,
Martin Lipton,Chairman,New York University,,Wharton 1952 BS; NYU 1955 LLB,"Partner, Wachtell, Lipton, Rosen & Katz 51 West 52nd Street, New York, NY 10019-6150 Tel: (212) 403-2100",,,,,57206974.0,193900.0,,,Board President,True,
Jeffrey H. Lynford,Trustee,New York University,,,"President and Chief Executive Officer, Reis, Inc530 5th Avenue, Sth Floor, New York, NY 10036 Tel: (212) 921-1122",,,,,57206974.0,193900.0,,,Trustee,True,
Donald B. Marron,Trustee,New York University,,CUNY; Baruch Col 1983 JD,"Chairman and Chief Executive Officer, Lightyear Capital Tel: (212) 328-0555",,,,,57206974.0,193900.0,,,Trustee,True,
Constance Jane Milstein,Trustee,New York University,,,"Principal and Co-Founder, Ogden CAP Properties, LLC 390 Park Avenue, New York, NY 10022 Tel: (212) 289-5000",,,,,57206974.0,193900.0,,,Trustee,True,
Khaldoon Khalifa AI Mubarak,Trustee,New York University,,,"Chief Executive Officer and Managing Director, Mubadala Development Company ADNIC Building, Khalifa Street, 12th Floor, Abu Dhabi, United Arab Emirates Tel: 971 (2) 6160099",,,,,57206974.0,193900.0,,,Trustee,True,
Brooke Garber Neidich,Trustee,New York University,,NYU 1972,,,,,,57206974.0,193900.0,,,Trustee,True,
David C. Oxman,Trustee,New York University,,,"Senior Counsel, Davis Polk & Wardwell 450 Lexington Avenue, New York, NY 10017 Tel: (212) 450-4884",,,,,57206974.0,193900.0,,,Trustee,True,
Catherine B. Reynolds,Trustee,New York University,,Vanderbilt 1979 BS,"Chairman and Chief Executive Officer, Catherine BReynolds Foundation",,,,,57206974.0,193900.0,,,Trustee,True,
Courtney Sale Ross,Trustee,New York University,,,"Founder, Ross Global Academy Charter School Tweed Courthouse, 52 Chambers Street, First Floor, New York, NY 10007",,,,,57206974.0,193900.0,,,Trustee,True,
William C. Rudin,Trustee,New York University,,NYU 1979 BS,"President, Rudin Management Company, Inc345 Park Avenue, 33rd Floor, New York, NY 10154 Tel: (212) 407-2400",,,,,57206974.0,193900.0,,,Trustee,True,
Constance Silver,Trustee,New York University,,,"Director, Special Training, Indian Creek Village Public Safety Department",,,,,57206974.0,193900.0,,,Trustee,True,
Marvin Leffler,Trustee Associate,New York University,,"Stern 1942, 1951","President, Board of Directors, Town Hall Foundation 123 West 43rd Street, New York, NY 10036 Tel: (212) 997-6661",,,,,57206974.0,193900.0,,,Trustee,True,
Lisa H. Silverstein,Trustee,New York University,,,"Senior Vice President, Silverstein Properties, Inc",,,,,57206974.0,193900.0,,,Trustee,True,
Joel E. Smilow,Trustee,New York University,,,"Chairman, Dinex Group, LLC",,,,,57206974.0,193900.0,,,Trustee,True,
Jay Stein,Trustee,New York University,,,"Chairman of the Board, Stein Mart, Inc",,,,,57206974.0,193900.0,,,Trustee,True,
Joseph S. Steinberg,Trustee,New York University,,NYU 1966 AB; Harvard 1970 MBA,"President, Leucadia National Corporation",,,,,57206974.0,193900.0,,,Trustee,True,
"Judith ""Judy"" Steinhardt",Trustee,New York University,,,,,,,,57206974.0,193900.0,,,Trustee,True,
Michael H. Steinhardt,Trustee,New York University,,,"Managing Member, Steinhardt Management LLC",,,,,57206974.0,193900.0,,,Trustee,True,
Daniel R. Tisch,Trustee,New York University,,,"General Partner, Mentor Partners, L.P",,,,,57206974.0,193900.0,,,Trustee,True,
John L. Vogelstein,Trustee,New York University,,,"Vice Chairman, Warburg Pincus LLC",,,,,57206974.0,193900.0,,,Trustee,True,
John Edward Sexton,Trustee,New York University,,,,,,,,57206974.0,193900.0,,,Trustee,True,
Kenneth G. Langone,Vice Chairman,New York University,,Bucknell BA; Stern 1960 MBA,"Chairman, President and Chief Executive Officer, Invemed Associates LLC",,,,,57206974.0,193900.0,,,Board Vice President,True,
Richard D. Katcher,Trustee,New York University,,Lafayette 1963 AB; NYU 1966 LLB,"Senior Partner and Member, Management Committee, Wachtell, Lipton, Rosen & Katz 51 West 52nd Street, New York, NY 10019-6150",,,,,57206974.0,193900.0,,,Trustee,True,
Richard Jay Kogan,Trustee,New York University,,CCNY 1963 BA; NYU 1968 MBA,"President and Chief Executive Officer, Schering-Plough Corporation (2002-2003)",,,,,57206974.0,193900.0,,,Trustee,True,
Ronald D. Abramson,Trustee,New York University,,NYU 1971 BA; Georgetown 1974 JD,"Shareholder, Washington, DC Office, Buchanan Ingersoll & Rooney PC 1700 K Street, NW, Suite 300, Washington, DC 20006-3807",,,,,57206974.0,193900.0,,,Trustee,True,
Phyllis Putter Barasch,Alumni Trustee,New York University,,NYU 1981,,,,,,57206974.0,193900.0,,,Trustee,True,
