Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Contact,Notes,AffiliationId,FullName,carnegie_id,PrimarySample,level_0,index,StateSystem,FixedPosition
"A. David Brown, Jr",Trustee,Monmouth University,,"Executive Vice President, Human Resources. Urban Brands, Inc100 Metro Way, Secaucus, NJ 07094",Monmouth U 1965 BA,356.0,,,141450709.0,Monmouth University,185572.0,False,,,,Trustee
Peter Bruckmann,Ex Officio Trustee,Monmouth University,,Monmouth U 1970,,356.0,,,141450709.0,Monmouth University,185572.0,False,,,,"Trustee, Ex Officio"
Rosa Chaviano-Moran,Trustee,Monmouth University,,,,356.0,,,141450709.0,Monmouth University,185572.0,False,,,,Trustee
Marcia Sue Clever,Vice Chairman,Monmouth University,,,,356.0,,,141450709.0,Monmouth University,185572.0,False,,,,Board Vice President
Jan Greenwood,Trustee,Monmouth University,,,,357.0,,,141450709.0,Monmouth University,185572.0,False,,,,Trustee
Dennis M. Coleman,Trustee,Monmouth University,,Brown U 1975 AB: Georgetown 1978 ID,,356.0,,,141450709.0,Monmouth University,185572.0,False,,,,Trustee
"Alan E. Davis, Esq",Life Trustee,Monmouth University,,Rutgers 1962 AB: Columbia 1965 JD,,356.0,,,141450709.0,Monmouth University,185572.0,False,,,,Trustee
"William P. Dioguardi, Jr.",Trustee,Monmouth University,,Monmouth U 1980,,356.0,,,141450709.0,Monmouth University,185572.0,False,,,,Trustee
Thomas J. Michelli,Trustee,Monmouth University,,,,357.0,,,141450709.0,Monmouth University,185572.0,False,,,,Trustee
Judith Ann Eisenberg,Life Trustee,Monmouth University,,,,356.0,,,141450709.0,Monmouth University,185572.0,False,,,,Trustee
"Alfred L. Ferguson, Esq",Life Trustee,Monmouth University,,,,356.0,,,141450709.0,Monmouth University,185572.0,False,,,,Trustee
VADM Paul G. Gaffney II,Ex Officio Trustee,Monmouth University,,,,356.0,,,141450709.0,Monmouth University,185572.0,False,,,,"Trustee, Ex Officio"
Paul W. Corliss,Life Trustee,Monmouth University,,,,356.0,,,141450709.0,Monmouth University,185572.0,False,,,,Trustee
Marti S. Egger,Trustee,Monmouth University,,Monmouth U 1981,,356.0,,,141450709.0,Monmouth University,185572.0,False,,,,Trustee
Tavit O. Najarian,Trustee,Monmouth University,,,,357.0,,,141450709.0,Monmouth University,185572.0,False,,,,Trustee
Michelle Spicer Toto,Trustee,Monmouth University,,Monmouth U 1994,,357.0,,,141450709.0,Monmouth University,185572.0,False,,,,Trustee
James S. Vaccaro III,Trustee,Monmouth University,,,,357.0,,,141450709.0,Monmouth University,185572.0,False,,,,Trustee
"Dr. M. Monica Sweeney, MD, MPH",Trustee,Monmouth University,,,"Assistant Commissioner. Bureau of HIV Prevention and Control, Division of Disease Control, Department of Health and Mental Hygiene, City of New York, New York",357.0,,,141450709.0,Monmouth University,185572.0,False,,,,Trustee
Robert B. Sculthorpe,Chairman,Monmouth University,,Monmouth U 1963,,357.0,,,141450709.0,Monmouth University,185572.0,False,,,,Board President
William B. Roberts,Life Trustee,Monmouth University,,,,357.0,,,141450709.0,Monmouth University,185572.0,False,,,,Trustee
David A. Reale,Trustee,Monmouth University,,Monmouth U 1996,,357.0,,,141450709.0,Monmouth University,185572.0,False,,,,Trustee
"Alfred J. Schiavetti, Jr",Life Trustee,Monmouth University,,,,357.0,,,141450709.0,Monmouth University,185572.0,False,,,,Trustee
Thomas A. Porskievies,Trustee,Monmouth University,,Monmouth U 1982. 1986,,357.0,,,141450709.0,Monmouth University,185572.0,False,,,,Trustee
Michael A. Plodwick,Secretary,Monmouth University,,Monmouth U 1982,,357.0,,,141450709.0,Monmouth University,185572.0,False,,,,Other Board Member
Jeana M. Piscatelli,Trustee,Monmouth University,,"Monmouth U 2001, 2002",,357.0,,,141450709.0,Monmouth University,185572.0,False,,,,Trustee
Stephen M. Parks,Life Trustee,Monmouth University,,Monmouth U 1968,,357.0,,,141450709.0,Monmouth University,185572.0,False,,,,Trustee
"Steven J. ""Steve"" Pozycki",Trustee,Monmouth University,,Monmouth U 1973 BABA,"Chairman and Chief Executive Officer, SJP Properties",357.0,,,141450709.0,Monmouth University,185572.0,False,,,,Trustee
Major Robinson,Vice Chairman,Montana University System,,,,361.0,,,2801213986.0,Montana University System,,False,,,Montana University System,Board Vice President
John Patrick Williams,Member,Montana University System,,Denver 1961 BA,,361.0,,,2801213986.0,Montana University System,,False,,,Montana University System,Member
Joseph Thiel,Student Regent,Montana University System,,,,361.0,,,2801213986.0,Montana University System,,False,,,Montana University System,Other Board Member
Brian David Schweitzer,Ex Officio Member,Montana University System,,Colorado State 1978 BS; Montana State (Billings) 1980 MS,"Governor, State of Montana; Governor (D), State of Montana",361.0,,,2801213986.0,Montana University System,,False,,,Montana University System,"Member, Ex Officio"
Angela McLean,Chairman,Montana University System,,Western Montana 1994: Montana 2000 MA,"Teacher, Anaconda High School",361.0,,,2801213986.0,Montana University System,,False,,,Montana University System,Board President
Clayton Christian,Ex Officio Member,Montana University System,,,,361.0,,,2801213986.0,Montana University System,,False,,,Montana University System,"Member, Ex Officio"
Denise Juneau,Ex Officio Member,Montana University System,,Montana State 1993 BA: Harvard 1994 MA; Montana 2004 JD,"State Superintendent (D). Office of Public Instruction, State of Montana",361.0,,,2801213986.0,Montana University System,,False,,,Montana University System,"Member, Ex Officio"
Todd Buchanan,Member,Montana University System,,Montana State BS,"Co-Owner and Financial Advisor, Buchanan Capital LLC",361.0,,,2801213986.0,Montana University System,,False,,,Montana University System,Member
Jeffrey Krauss,Member,Montana University System,,Montana State BSBA,,361.0,,,2801213986.0,Montana University System,,False,,,Montana University System,Member
Thomas Maguire,Trustee,Montclair State University,,,,362.0,,,166088655.0,Montclair State University,185590.0,True,,,,Trustee
"John L. McGoldrick, Esq",Trustee,Montclair State University,,Harvard 1963 AB. 1966 LLB,"Special Advisor, International AIDS Vaccine Initiative",362.0,,,166088655.0,Montclair State University,185590.0,True,,,,Trustee
William T. Mullen,Trustee,Montclair State University,,,"President and Business Manager, Iron Workers Local 11, New Jersey State Building & Contruction Trades Council",362.0,,,166088655.0,Montclair State University,185590.0,True,,,,Trustee
Ralph A. LaRossa,Chairman,Montclair State University,,Stevens BE,,362.0,,,166088655.0,Montclair State University,185590.0,True,,,,Board President
Preston D. Pinkett III,Trustee,Montclair State University,,Cornell 1984 BS; Wharton 1999 MBA,,362.0,,,166088655.0,Montclair State University,185590.0,True,,,,Trustee
"J. Thomas Presby, CPA",Trustee,Montclair State University,,Rutgers BS; Carnegie Mellon MBA,"Deputy Chief Executive Officer, Deloitte Touche Tohmatsu (2001-2002)",362.0,,,166088655.0,Montclair State University,185590.0,True,,,,Trustee
Jack Baldwin-LeClair,Faculty Representative,Montclair State University,,St Anselm BA; Rutgers MA: Bridgeport JD,,362.0,,,166088655.0,Montclair State University,185590.0,True,,,,Other Board Member
Christine L. Padilla,Trustee,Montclair State University,,,"President, BIT Solutions. LLC",362.0,,,166088655.0,Montclair State University,185590.0,True,,,,Trustee
Douglas L. Kennedy,Trustee,Montclair State University,,"Sacred Heart U BSEc, MBA",,362.0,,,166088655.0,Montclair State University,185590.0,True,,,,Trustee
Dr. Susan A. Cole,Trustee,Montclair State University,,King's Col (UK) BA; Middlesex Med (UK),,362.0,,,166088655.0,Montclair State University,185590.0,True,,,,Trustee
Mitchell E. Hersh,Trustee,Montclair State University,,Ohio BA,"President and Chief Executive Officer, Mack-Cali Realty Corporation",362.0,,,166088655.0,Montclair State University,185590.0,True,,,,Trustee
Francis M. C. Cuss,Trustee,Montclair State University,,,"Senior Vice President, Research, Bristol-Myers Squibb Company",362.0,,,166088655.0,Montclair State University,185590.0,True,,,,Trustee
Michael L. Carter,Trustee,Montclair State University,,Washington U (MO) BA: Harvard MBA,,362.0,,,166088655.0,Montclair State University,185590.0,True,,,,Trustee
Rose C. Cali,Trustee,Montclair State University,,Montclair State Col BA,"Founder and Education Advocate, Yogi Berra Museum and Learning Center",362.0,,,166088655.0,Montclair State University,185590.0,True,,,,Trustee
"Susan L. Blount, Esq.",Secretary,Montclair State University,,"Texas 1978 BA, 1981 JD","Senior Vice President and General CounselPrudential Financial, Inc751 Broad Street, Newark, NJ 07102-3777",362.0,,,166088655.0,Montclair State University,185590.0,True,,,,Other Board Member
Kyle Bunting,Student Representative,Montclair State University,,,,362.0,,,166088655.0,Montclair State University,185590.0,True,,,,Other Board Member
Alex Bychov,Student Representative,Montclair State University,,,,362.0,,,166088655.0,Montclair State University,185590.0,True,,,,Other Board Member
George J. Hiltzik,Vice Chairman,Montclair State University,,Cornell 1967 BS: Columbia 1970 JD,,362.0,,,166088655.0,Montclair State University,185590.0,True,,,,Board Vice President
Stephen A. Williams,Regent,Murray State University,,Murray State U 1972 BBA; Minnesota 1978 MHCA,"President and Chief Executive Officer, Norton Healthcare, IncP.O. Box 35070, Louisville, KY 40232-5070",364.0,,,127362389.0,Murray State University,157401.0,False,,,,Regent
Harry Lee Waterfield II,Secretary,Murray State University,,,,363.0,,,127362389.0,Murray State University,157401.0,False,,,,Other Board Member
Jerry Sue Thornton,Regent,Murray State University,,"Murray State U 1969 BA, 1970 MA; Texas 1983 PhD","President, Cuyahoga Community College 700 Carnegie Avenue, Cleveland, OH 44115 Tel: (216) 987-4851",363.0,,,127362389.0,Murray State University,157401.0,False,,,,Regent
Jenny Lynn Sewell,Regent,Murray State University,,,,363.0,,,127362389.0,Murray State University,157401.0,False,,,,Regent
Phil Schooley,Regent,Murray State University,,,,363.0,,,127362389.0,Murray State University,157401.0,False,,,,Regent
Jill Hunt Lovett,Student Regent,Murray State University,,,,363.0,,,127362389.0,Murray State University,157401.0,False,,,,Regent
Sharon Green Susan Shaffer GuessJeremiah Johnson,Regent,Murray State University,,,,363.0,,,127362389.0,Murray State University,157401.0,False,,,,Regent
Marilyn Reed Buchanon,Vice Chairman,Murray State University,,Kentucky 1962 BA; Illinois 1965 MA; Kentucky 1967 EdD,"President, American Association of State Colleges and Universities (1999-2009)",363.0,,,127362389.0,Murray State University,157401.0,False,,,,Board Vice President
Constantine Curris,Chairman,Murray State University,,,,363.0,,,127362389.0,Murray State University,157401.0,False,,,,Board President
Jack Rose,Faculty Regent,Murray State University,,Indiana 1971 EdD,,363.0,,,127362389.0,Murray State University,157401.0,False,,,,Regent
Nancy Sands,Trustee,Nazareth College Of Rochester,,,"Owner, Nancy Sands Photography",365.0,,,25093896.0,Nazareth College Of Rochester,193584.0,False,,,,Trustee
Robert C. Morgan,Trustee,Nazareth College Of Rochester,,,"Owner, Morgan Management, LLC",365.0,,,25093896.0,Nazareth College Of Rochester,193584.0,False,,,,Trustee
Stephen D. Natapow,Trustee,Nazareth College Of Rochester,,,"President and Chief Executive Officer, Natapow Management Group",365.0,,,25093896.0,Nazareth College Of Rochester,193584.0,False,,,,Trustee
Larry Peckham,Trustee,Nazareth College Of Rochester,,,,365.0,,,25093896.0,Nazareth College Of Rochester,193584.0,False,,,,Trustee
Richard F. Pierpont,Trustee,Nazareth College Of Rochester,,,"Director, Sales, Vontu, Inc",365.0,,,25093896.0,Nazareth College Of Rochester,193584.0,False,,,,Trustee
Cynthia Reddeck-LiDestri,Trustee,Nazareth College Of Rochester,,,"Wellness Program Director, LiDestri Foods, Inc",365.0,,,25093896.0,Nazareth College Of Rochester,193584.0,False,,,,Trustee
James P. Sessler,Trustee,Nazareth College Of Rochester,,,"President, Hamilton Products, Inc",365.0,,,25093896.0,Nazareth College Of Rochester,193584.0,False,,,,Trustee
Richard A. Kaplan,Trustee,Nazareth College Of Rochester,,,,365.0,,,25093896.0,Nazareth College Of Rochester,193584.0,False,,,,Trustee
Lori A. Van Dusen,Trustee,Nazareth College Of Rochester,,Ithaca BA; Harvard MEd,"Managing Director, Convergent Wealth Advisors",365.0,,,25093896.0,Nazareth College Of Rochester,193584.0,False,,,,Trustee
David L. Vigren,Trustee,Nazareth College Of Rochester,,Purdue BS: Indiana 1963 MBA,President and Chief Executive Officer. ESL Federal Credit Union (1994-2003),365.0,,,25093896.0,Nazareth College Of Rochester,193584.0,False,,,,Trustee
Steve Whitman,Trustee,Nazareth College Of Rochester,,,,365.0,,,25093896.0,Nazareth College Of Rochester,193584.0,False,,,,Trustee
"Thomas C. Wilmot, Sr",Trustee,Nazareth College Of Rochester,,,"Chairman, Wilmorite Management Group 1265 Scottsville Road, Rochester, NY 14624",365.0,,,25093896.0,Nazareth College Of Rochester,193584.0,False,,,,Trustee
Frank York,Trustee,Nazareth College Of Rochester,,Union Col (NY) BSEE,,365.0,,,25093896.0,Nazareth College Of Rochester,193584.0,False,,,,Trustee
Thomas loele.,Trustee,Nazareth College Of Rochester,,,"President and Chief Executive Officer, Employee Relations Associates",365.0,,,25093896.0,Nazareth College Of Rochester,193584.0,False,,,,Trustee
"Mary Louise Mitchell, SSJ",Trustee,Nazareth College Of Rochester,,,"Congregational President, Sisters of St. Joseph of Rochester, Inc",365.0,,,25093896.0,Nazareth College Of Rochester,193584.0,False,,,,Trustee
Anne M. Sevier-Buckingham,Trustee,Nazareth College Of Rochester,,Nazareth Rochester,"District Manager, Rochester Telephone Corporation",365.0,,,25093896.0,Nazareth College Of Rochester,193584.0,False,,,,Trustee
Kim J. McCluski,Trustee,Nazareth College Of Rochester,,,"Consultant, Essential Strategies, Inc",365.0,,,25093896.0,Nazareth College Of Rochester,193584.0,False,,,,Trustee
Don H. Kollmorgen,Trustee,Nazareth College Of Rochester,,,,365.0,,,25093896.0,Nazareth College Of Rochester,193584.0,False,,,,Trustee
Bridgette Hobart,Trustee,Nazareth College Of Rochester,,Nazareth Rochester BS; SUNY (Binghamton) MS,"President, Paradigm Technology Consulting, LLC",365.0,,,25093896.0,Nazareth College Of Rochester,193584.0,False,,,,Trustee
Jackie Aab,Trustee,Nazareth College Of Rochester,,St Bonaventure BBA,"First Vice President, Investments, Global Wealth Management, Merrill Lynch & Co., Inc1241 Pittsford-Victor Road, Pittsford, NY 14534",364.0,,,25093896.0,Nazareth College Of Rochester,193584.0,False,,,,Trustee
Elizabeth R. McAnarney,Trustee,Nazareth College Of Rochester,,"Vassar 1962 AB; SUNY (Upstate Med) 1966 MD, 2005 DSc","Professor, Department of Pediatrics, University of Rochester",365.0,,,25093896.0,Nazareth College Of Rochester,193584.0,False,,,,Trustee
Susan E. Acker.,Trustee,Nazareth College Of Rochester,,,,364.0,,,25093896.0,Nazareth College Of Rochester,193584.0,False,,,,Trustee
Jack Allocco,Trustee,Nazareth College Of Rochester,,,,364.0,,,25093896.0,Nazareth College Of Rochester,193584.0,False,,,,Trustee
Daan Braveman,Trustee,Nazareth College Of Rochester,,,"President, Nazareth College of Rochester4245 East Avenue, Rochester, NY 14618-3790",364.0,,,25093896.0,Nazareth College Of Rochester,193584.0,False,,,,Trustee
James A. Costanza,Chairman,Nazareth College Of Rochester,,St Lawrence,"President, Costanza Enterprises Inc14 Franklin Street, Rochester, NY 14604",364.0,,,25093896.0,Nazareth College Of Rochester,193584.0,False,,,,Board President
Lauren Dixon,Trustee,Nazareth College Of Rochester,,,"Founder and Chief Executive Officer, Dixon Schwabl, Inc1595 Moseley Road, Victor, NY 14564",364.0,,,25093896.0,Nazareth College Of Rochester,193584.0,False,,,,Trustee
Jeff Burke,Trustee,Nazareth College Of Rochester,,,,364.0,,,25093896.0,Nazareth College Of Rochester,193584.0,False,,,,Trustee
Judy Wilmot Linehan,Trustee,Nazareth College Of Rochester,,Nazareth Rochester 1976,,365.0,,,25093896.0,Nazareth College Of Rochester,193584.0,False,,,,Trustee
Emil D. Duda.,Trustee,Nazareth College Of Rochester,,,"Chief Financial Officer, Univera Healthcare205 Park Club Lane, Buffalo, NY 14221",364.0,,,25093896.0,Nazareth College Of Rochester,193584.0,False,,,,Trustee
Sergio Esteban,Vice Chairman,Nazareth College Of Rochester,,,"President and Chief Executive Officer, LaBella Associates, P.C300 State Street, Suite 201, Rochester, NY 14614",364.0,,,25093896.0,Nazareth College Of Rochester,193584.0,False,,,,Board Vice President
Timothy D. Fournier,Trustee,Nazareth College Of Rochester,,New Hampshire Col BAcc,"President and Chief Executive Officer, Conifer RealtyLLC",365.0,,,25093896.0,Nazareth College Of Rochester,193584.0,False,,,,Trustee
Jane Glazer,Trustee,Nazareth College Of Rochester,,,"President and Owner, QCI Direct",365.0,,,25093896.0,Nazareth College Of Rochester,193584.0,False,,,,Trustee
Brian E. Hickey,Trustee,Nazareth College Of Rochester,,,"Executive Vice President, Manufacturers and Traders Trust Company",365.0,,,25093896.0,Nazareth College Of Rochester,193584.0,False,,,,Trustee
Steve M. Dubnik,Trustee,Nazareth College Of Rochester,,,"Co-Chief Executive Officer. Ariston Global Management, LLC15 Fishers Road, Suite 201, Pittsford, NY 14534",364.0,,,25093896.0,Nazareth College Of Rochester,193584.0,False,,,,Trustee
Kevin J. Page,Vice Chairman,Nevada System Of Higher Education,,,"Managing Director and Senior Relationship Manager, Wells Capital Management",368.0,,,68260882.0,Nevada System Of Higher Education,,False,,,,Board Vice President
Michael B. Wixom,Regent,Nevada System Of Higher Education,,,"Member, Smith Larsen & Wixom, Chartered",368.0,,,68260882.0,Nevada System Of Higher Education,,False,,,,Regent
"Richard M. ""Rick"" Trachok II",Regent,Nevada System Of Higher Education,,Nevada (Reno) 1974 BS; Cal Western 1980 JD; Cambridge (UK) 1984 LLM,,368.0,,,68260882.0,Nevada System Of Higher Education,,False,,,,Regent
Dr. Jack Lund Schofield,Regent,Nevada System Of Higher Education,,,"Chief Executive Officer, Exclusive Homes & Products",368.0,,,68260882.0,Nevada System Of Higher Education,,False,,,,Regent
James Dean Leavitt,Regent,Nevada System Of Higher Education,,,"Attorney, Law Office of James Dean Leavitt",368.0,,,68260882.0,Nevada System Of Higher Education,,False,,,,Regent
Kevin C. Melcher,Regent,Nevada System Of Higher Education,,"Nevada (Reno) 1979 BS, 1981 MS",,368.0,,,68260882.0,Nevada System Of Higher Education,,False,,,,Regent
Dr. Jason Geddes,Chairman,Nevada System Of Higher Education,,"Nevada (Reno) 1990 BS, 1995 PhD","Government Affairs Manager, Economic Development Authority of Western Nevada",368.0,,,68260882.0,Nevada System Of Higher Education,,False,,,,Board President
Dr. Mark W. Doubrava,Regent,Nevada System Of Higher Education,,Nevada (Las Vegas) 1985 BS: Nevada (Reno) 1989 MD,,368.0,,,68260882.0,Nevada System Of Higher Education,,False,,,,Regent
Cedric Crear,Regent,Nevada System Of Higher Education,,,"President, Crear Creative Group",368.0,,,68260882.0,Nevada System Of Higher Education,,False,,,,Regent
Robert J. Blakely,Regent,Nevada System Of Higher Education,,Montana Mineral BS,,368.0,,,68260882.0,Nevada System Of Higher Education,,False,,,,Regent
Dr. Andrea Anderson,Regent,Nevada System Of Higher Education,,Northern Arizona 1967 BS; Boise State 1986 MBA;,,368.0,,,68260882.0,Nevada System Of Higher Education,,False,,,,Regent
Mark Alden,Regent,Nevada System Of Higher Education,,Nevada (Reno) 1971 BS,"President and Chief Executive Officer, Mark Alden,",368.0,,,68260882.0,Nevada System Of Higher Education,,False,,,,Regent
Ron Knecht,Regent,Nevada System Of Higher Education,,,"Economist, Resource and Market Analysis Division, Public Utilities Commission of Nevada, State of Nevada; Economist, Resource and Market Analysis Division (R), Public Utilities Commission of Nevada, State of Nevada",368.0,,,68260882.0,Nevada System Of Higher Education,,False,,,,Regent
Henry A. Mauermeyer,Assistant Treasurer,New Jersey Institute Of Technology,,,,370.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Other Board Member
Patrick J. McGowan,Overseer,New Jersey Institute Of Technology,,NJIT 1988,"President and Chief Executive Officer, Mc Gowan Builders. Inc1200 Paterson Plank Road, North Bergen, NJ 07047",370.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Overseer
Raymond J. McGowan,Overseer,New Jersey Institute Of Technology,,NJIT 1964,"Vice President, ExxonMobil Chemical Company",370.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Overseer
James G. Medeiros,Overseer,New Jersey Institute Of Technology,,,"Vice President, Information Systems, United Parcel Service, Inc55 Glenlake Parkway, NE, Atlanta, GA 30328",370.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Overseer
Vincent J. Naimoli,Overseer,New Jersey Institute Of Technology,,,"Chairman, Tampa Bay Devil Rays",370.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Overseer
John J. Nallin,Overseer,New Jersey Institute Of Technology,,Fairleigh Dickinson 1974 MBA,"Vice President, United Parcel Service, Inc55 Glenlake Parkway, NE, Atlanta, GA 30328",370.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Overseer
George M. Newcombe,Overseer,New Jersey Institute Of Technology,,NJIT 1969,"Partner, Simpson Thacher & Bartlett LLP",370.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Overseer
John H. Olson,Overseer,New Jersey Institute Of Technology,,"NJIT 1961, 1966",,370.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Overseer
Dr. Donald H. Sebastian,Overseer,New Jersey Institute Of Technology,,,,370.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Overseer
Philip L. Rinaldi,Chairman,New Jersey Institute Of Technology,,NJIT 1968,"Chairman and Principal, Phoenix Capital LLCTel: (212) 461-1104",370.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Board President
John W. Seazholtz,Overseer,New Jersey Institute Of Technology,,NJIT 1959,"Chairman of the Board, Board of Directors. Westell Technologies, Inc750 North Commons Drive, Aurora, IL 60504 Tel: (630) 898-2500",370.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Overseer
Gregory M. Smith,Overseer,New Jersey Institute Of Technology,,,,370.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Overseer
Stephanie Tonic,Overseer,New Jersey Institute Of Technology,,,,370.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Overseer
Martin Tuchman,Overseer,New Jersey Institute Of Technology,,NJIT 1962,"Chairman and Chief Executive Officer, Kingstone Capital V. LLC 4422 Route 27, Kingston, NJ 08528 Tel: (609) 924-6006",370.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Overseer
Michael A. Wall.,Executive Vice Chairman,New Jersey Institute Of Technology,,,"Executive Director, Greater Newark Enterprises Corporation 744 Broad Street, 26th Floor, Newark, NJ 07102 Tel: (973) 242-4132 New Mexico State University P.O. Box 30001, Las Cruces, NM 88003-8001 c Tel: (575) 646-0111 Internet: www.nmsu.edu be line feeins finua Enrollment: 18,552 Faculty: 1,800 Year Founded: 1888 biT notias",370.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Board Vice President
Teresa Truppi Prieto,Overseer,New Jersey Institute Of Technology,,NJIT 1988,"General Manager, Surface Technology, BASF Corporation100 Park Avenue, Florham Park, NJ 07932",370.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Overseer
Nicholas J. Masucci,Overseer,New Jersey Institute Of Technology,,,,370.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Overseer
Henry A. Mauermeyer,Secretary,New Jersey Institute Of Technology,,,,370.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Other Board Member
Arthur A. Kapoor,Overseer,New Jersey Institute Of Technology,,,,370.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Overseer
Dr. Richard S. Bowles III,Overseer,New Jersey Institute Of Technology,,"NJIT 1982 BSIE; Boston U ME; Creighton MBA, U Col London BS; Trinity Col (Ireland) PhD",Overseer,369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Overseer
Richard M. Maser,Overseer,New Jersey Institute Of Technology,,,,370.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Overseer
Norma J. Clavton,Overseer,New Jersey Institute Of Technology,,NJIT 1981,"Vice President, Learning, Training and DevelopmentThe Boeing Company",369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Overseer
"James J. Coleman, Jr",Overseer,New Jersey Institute Of Technology,,,"Chairman, International Mate Tank Terminals",369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Overseer
"Dr. Charles R. Dees, Jr",Overseer,New Jersey Institute Of Technology,,,"Vice President and Operations Manager, Turner Construction Company",369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Overseer
Paul A. Denehy,Overseer,New Jersey Institute Of Technology,,,,,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Overseer
"Rodney L. Dickens, PE",Overseer,New Jersey Institute Of Technology,,NJIT 1985 BSEE; Rutgers MBA,"President, The Potomac Edison Company (2009-2011)",369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Overseer
Carlos Dominguez,Overseer,New Jersey Institute Of Technology,,,"Senior Vice President, Office of the Chairman and Chief Executive Officer, Cisco Systems, Inc170 West Tasman Drive, San Jose, CA 95134-1706",370.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Overseer
Albert A. Dorman,Overseer,New Jersey Institute Of Technology,,NJIT 1945,Chairman. AECOM,370.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Overseer
Nicholas M. DeNichilo,Overseer,New Jersey Institute Of Technology,,"NJIT 1973, 1978","President and Chief Operating Officer, Hatch Mott MacDonald, Consulting Engineers",369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Overseer
Caren L. Freyer-DeSouza,Overseer,New Jersey Institute Of Technology,,,"Vice President and Director, New Jersey Government Relations, Parsons Brickerhoff Quade & Douglas, Inc",370.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Overseer
Irwin Dorros,Overseer,New Jersey Institute Of Technology,,NJIT 1955,"Chairman and President, Drexler Technology Corporation",370.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Overseer
Steven Annunziato,Overseer,New Jersey Institute Of Technology,,,"Senior Vice President, Marketing and Sales, Synapse",369.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Overseer
Emil C. Herkert,Chairman Emeritus,New Jersey Institute Of Technology,,,"Chairman and Chief Executive Officer, Hatch Mott McDonald, Infrastructure and Environment",370.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Board President
Michelle Hallerdin,Overseer,New Jersey Institute Of Technology,,Delaware BA; Emory MBA,,370.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Overseer
J. Robert Hillier,Overseer,New Jersey Institute Of Technology,,,"Chairman, The Hillier Group500 Alexander Park, Princeton, NJ 08543-6395",370.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Overseer
Dr. Ian Gatley,Overseer,New Jersey Institute Of Technology,,,,370.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Overseer
John J. Fumosa,Overseer,New Jersey Institute Of Technology,,NJIT 1974,"Vice President and District Manager, New Jersey, Gilbane Building Company3150 Brunswick Pike, Lawrenceville, NJ 08648",370.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Overseer
David T. Gockel,Overseer,New Jersey Institute Of Technology,,,,370.0,,,118118575.0,New Jersey Institute Of Technology,185828.0,True,,,,Overseer
Malcolm B. Smith,Trustee,New School,,,,372.0,,,102179633.0,New School,193654.0,True,,,,Trustee
Jonathan Newcomb,Trustee,New School,,,"Senior Advisor, Coady Diemar Partners, LLC",372.0,,,102179633.0,New School,193654.0,True,,,,Trustee
Timothy L. Porter,Trustee,New School,,Col Holy Cross 1968 BA; NYU 1974 JD,,372.0,,,102179633.0,New School,193654.0,True,,,,Trustee
Linda E. Rappaport,Trustee,New School,,,"Partner, Sherman & Sterling LLP",372.0,,,102179633.0,New School,193654.0,True,,,,Trustee
